gdate,gnum,seasonCode,leagueCode,round,gender,hname,aname,score,hs1point,hs2point,hs3point,hs4point,hs5point,as1point,as2point,as3point,as4point,as5point,place,spectators,gstime,sptime,referee
2021-12-04,85,018,201,3,1,인천 대한항공 점보스 배구단,서울 우리카드 우리WON 프로배구단,3 : 0,25,25,25,0,0,19,22,21,0,0,인천계양체육관,726,14:00,01:23,최성권
2021-12-04,86,018,201,3,2,GS칼텍스 서울Kixx 배구단,흥국생명배구단 핑크스파이더스,3 : 0,27,27,25,0,0,25,25,16,0,0,서울장충체육관,1688,16:00,01:29,이광훈
2021-12-05,87,018,201,3,1,안산 OK금융그룹 읏맨 프로배구단,대전 삼성화재 블루팡스 배구단,3 : 2,17,20,25,25,15,25,25,20,23,11,안산상록수체육관,603,16:00,02:19,최재효
2021-12-05,88,018,201,3,2,IBK기업은행 알토스 배구단,페퍼저축은행 AI PEPPERS 배구단,3 : 0,25,25,25,0,0,20,20,11,0,0,화성종합실내체육관,1576,13:43,01:17,전영아
2021-12-07,89,018,201,3,1,의정부 KB손해보험 스타즈 배구단,천안 현대캐피탈 스카이워커스,3 : 0,25,25,25,0,0,21,22,17,0,0,의정부체육관,598,19:00,01:24,최성권
2021-12-07,90,018,201,3,2,한국도로공사 하이패스 배구단,현대건설 힐스테이트 배구단,3 : 2,25,23,24,25,15,19,25,26,23,11,김천실내체육관,1266,19:00,02:23,강주희
2021-12-08,91,018,201,3,1,대전 삼성화재 블루팡스 배구단,인천 대한항공 점보스 배구단,2 : 3,17,25,18,25,10,25,22,25,23,15,대전충무체육관,452,19:00,02:13,남영수
2021-12-08,92,018,201,3,2,페퍼저축은행 AI PEPPERS 배구단,GS칼텍스 서울Kixx 배구단,0 : 3,19,21,20,0,0,25,25,25,0,0,페퍼스타디움,1600,19:00,01:26,이광훈
2021-12-09,93,018,201,3,1,수원 한국전력 VIXTORM 프로배구단,안산 OK금융그룹 읏맨 프로배구단,3 : 2,25,18,26,25,15,22,25,28,22,13,수원체육관,449,19:00,02:21,최성권
2021-12-09,94,018,201,3,2,KGC인삼공사 프로배구단,IBK기업은행 알토스 배구단,3 : 0,27,25,25,0,0,25,20,21,0,0,대전충무체육관,1513,19:00,01:32,전영아
2021-12-10,95,018,201,3,1,서울 우리카드 우리WON 프로배구단,의정부 KB손해보험 스타즈 배구단,1 : 3,23,19,25,17,0,25,25,20,25,0,서울장충체육관,576,19:00,01:51,최재효
2021-12-10,96,018,201,3,2,흥국생명배구단 핑크스파이더스,한국도로공사 하이패스 배구단,1 : 3,23,25,17,15,0,25,19,25,25,0,인천삼산월드체육관,990,19:00,01:53,강주희
2021-12-11,97,018,201,3,1,천안 현대캐피탈 스카이워커스,인천 대한항공 점보스 배구단,0 : 3,23,21,15,0,0,25,25,25,0,0,천안유관순체육관,1359,14:00,01:26,최성권
2021-12-11,98,018,201,3,2,현대건설 힐스테이트 배구단,GS칼텍스 서울Kixx 배구단,3 : 1,25,22,25,25,0,20,25,23,17,0,수원체육관,1786,16:00,02:03,권대진
2021-12-12,100,018,201,3,2,페퍼저축은행 AI PEPPERS 배구단,KGC인삼공사 프로배구단,0 : 3,21,22,13,0,0,25,25,25,0,0,페퍼스타디움,1681,16:00,01:25,송인석
2021-12-12,99,018,201,3,1,대전 삼성화재 블루팡스 배구단,수원 한국전력 VIXTORM 프로배구단,3 : 1,25,25,15,25,0,20,18,25,20,0,대전충무체육관,752,14:00,01:49,최재효
2021-12-14,101,018,201,3,1,서울 우리카드 우리WON 프로배구단,천안 현대캐피탈 스카이워커스,3 : 1,25,25,22,29,0,23,16,25,27,0,서울장충체육관,796,19:00,02:08,남영수
2021-12-14,102,018,201,3,2,흥국생명배구단 핑크스파이더스,현대건설 힐스테이트 배구단,0 : 3,21,21,13,0,0,25,25,25,0,0,인천삼산월드체육관,1028,19:00,01:25,이광훈
2021-12-15,103,018,201,3,1,인천 대한항공 점보스 배구단,안산 OK금융그룹 읏맨 프로배구단,2 : 3,20,25,25,21,15,25,22,17,25,17,인천계양체육관,576,19:00,02:20,최재효
2021-12-15,104,018,201,3,2,GS칼텍스 서울Kixx 배구단,IBK기업은행 알토스 배구단,3 : 0,25,25,25,0,0,16,14,13,0,0,서울장충체육관,1711,19:00,01:12,송인석
2021-12-16,105,018,201,3,1,대전 삼성화재 블루팡스 배구단,의정부 KB손해보험 스타즈 배구단,1 : 3,30,22,18,21,0,28,25,25,25,0,대전충무체육관,398,19:00,02:15,권대진
2021-12-16,106,018,201,3,2,페퍼저축은행 AI PEPPERS 배구단,한국도로공사 하이패스 배구단,0 : 3,17,21,21,0,0,25,25,25,0,0,페퍼스타디움,962,19:00,01:28,전영아
2021-12-17,107,018,201,3,1,수원 한국전력 VIXTORM 프로배구단,천안 현대캐피탈 스카이워커스,3 : 1,23,25,25,25,0,25,23,18,18,0,수원체육관,717,19:00,01:58,남영수
2021-12-17,108,018,201,3,2,KGC인삼공사 프로배구단,현대건설 힐스테이트 배구단,0 : 3,13,14,24,0,0,25,25,26,0,0,대전충무체육관,1755,19:00,01:24,최재효
2021-12-18,109,018,201,3,1,안산 OK금융그룹 읏맨 프로배구단,서울 우리카드 우리WON 프로배구단,0 : 3,20,22,22,0,0,25,25,25,0,0,안산상록수체육관,577,14:00,01:29,최성권
2021-12-18,110,018,201,3,2,IBK기업은행 알토스 배구단,흥국생명배구단 핑크스파이더스,0 : 3,23,22,27,0,0,25,25,29,0,0,화성종합실내체육관,1576,16:00,01:34,강주희
2021-12-19,111,018,201,3,1,의정부 KB손해보험 스타즈 배구단,인천 대한항공 점보스 배구단,2 : 3,25,21,18,25,9,20,25,25,21,15,의정부체육관,1038,14:00,02:18,남영수
2021-12-19,112,018,201,3,2,한국도로공사 하이패스 배구단,GS칼텍스 서울Kixx 배구단,3 : 1,21,25,25,25,0,25,19,19,19,0,김천실내체육관,2419,16:00,01:58,전영아
2021-12-21,113,018,201,3,1,서울 우리카드 우리WON 프로배구단,수원 한국전력 VIXTORM 프로배구단,3 : 0,28,25,25,0,0,26,20,19,0,0,서울장충체육관,721,19:00,01:30,최성권
2021-12-21,114,018,201,3,2,흥국생명배구단 핑크스파이더스,KGC인삼공사 프로배구단,3 : 0,25,25,25,0,0,20,14,13,0,0,인천삼산월드체육관,1037,19:00,01:18,전영아
2021-12-22,115,018,201,3,1,천안 현대캐피탈 스카이워커스,대전 삼성화재 블루팡스 배구단,3 : 0,25,25,25,0,0,22,18,23,0,0,천안유관순체육관,631,19:00,01:27,권대진
2021-12-22,116,018,201,3,2,현대건설 힐스테이트 배구단,페퍼저축은행 AI PEPPERS 배구단,3 : 0,25,25,25,0,0,15,20,19,0,0,수원체육관,983,19:00,01:18,남영수
2021-12-23,117,018,201,3,1,의정부 KB손해보험 스타즈 배구단,안산 OK금융그룹 읏맨 프로배구단,2 : 3,25,19,25,25,13,27,25,20,21,15,의정부체육관,539,19:00,02:28,최성권
2021-12-23,118,018,201,3,2,IBK기업은행 알토스 배구단,한국도로공사 하이패스 배구단,2 : 3,25,26,14,22,14,21,24,25,25,16,화성종합실내체육관,1426,19:00,02:21,최재효
2021-12-24,119,018,201,3,1,인천 대한항공 점보스 배구단,수원 한국전력 VIXTORM 프로배구단,3 : 1,22,25,25,25,0,25,15,14,18,0,인천계양체육관,946,19:00,01:43,남영수
2021-12-24,120,018,201,3,2,KGC인삼공사 프로배구단,GS칼텍스 서울Kixx 배구단,3 : 1,28,31,17,25,0,26,29,25,21,0,대전충무체육관,1476,19:00,02:08,전영아
2021-12-25,121,018,201,3,1,대전 삼성화재 블루팡스 배구단,서울 우리카드 우리WON 프로배구단,0 : 3,19,20,11,0,0,25,25,25,0,0,대전충무체육관,1091,14:00,01:17,최성권
2021-12-25,122,018,201,3,2,페퍼저축은행 AI PEPPERS 배구단,흥국생명배구단 핑크스파이더스,1 : 3,16,22,25,24,0,25,25,23,26,0,페퍼스타디움,2346,16:00,01:56,권대진
2021-12-26,123,018,201,3,1,천안 현대캐피탈 스카이워커스,안산 OK금융그룹 읏맨 프로배구단,3 : 0,25,25,25,0,0,21,10,23,0,0,천안유관순체육관,1669,14:00,01:17,최재효
2021-12-26,124,018,201,3,2,현대건설 힐스테이트 배구단,IBK기업은행 알토스 배구단,3 : 0,25,25,25,0,0,20,20,22,0,0,수원체육관,1785,16:00,01:27,남영수
2021-12-28,125,018,201,3,1,수원 한국전력 VIXTORM 프로배구단,의정부 KB손해보험 스타즈 배구단,1 : 3,25,25,28,20,0,22,27,30,25,0,수원체육관,594,19:00,02:17,권대진
2021-12-28,126,018,201,3,2,KGC인삼공사 프로배구단,한국도로공사 하이패스 배구단,1 : 3,23,25,18,25,0,25,21,25,27,0,대전충무체육관,1398,19:00,02:03,강주희
2021-12-29,127,018,201,4,1,서울 우리카드 우리WON 프로배구단,대전 삼성화재 블루팡스 배구단,3 : 0,25,25,25,0,0,22,19,15,0,0,서울장충체육관,662,19:00,01:20,남영수
2021-12-29,128,018,201,4,2,흥국생명배구단 핑크스파이더스,페퍼저축은행 AI PEPPERS 배구단,3 : 1,27,25,22,25,0,25,20,25,13,0,인천삼산월드체육관,965,19:00,01:51,전영아
2021-12-30,129,018,201,4,1,인천 대한항공 점보스 배구단,천안 현대캐피탈 스카이워커스,3 : 0,29,25,25,0,0,27,21,17,0,0,인천계양체육관,972,19:00,01:32,최성권
2021-12-30,130,018,201,4,2,현대건설 힐스테이트 배구단,GS칼텍스 서울Kixx 배구단,3 : 1,22,25,25,25,0,25,20,23,18,0,수원체육관,1705,19:00,01:50,강주희
2021-12-31,131,018,201,4,1,의정부 KB손해보험 스타즈 배구단,안산 OK금융그룹 읏맨 프로배구단,3 : 0,35,25,28,0,0,33,18,26,0,0,의정부체육관,738,19:00,01:42,최재효
2021-12-31,132,018,201,4,2,한국도로공사 하이패스 배구단,IBK기업은행 알토스 배구단,3 : 0,25,25,25,0,0,23,15,15,0,0,김천실내체육관,2998,19:00,01:22,전영아
